subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song;;
22;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;1;1;1;1;5;Post Malone;;0;WoW;NA;0;;
22;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;6;2;3;1;5;Nicki Minaj (feat. Rihanna);;0;Fly;NA;0;;
22;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;8;8;8;1;8;Jessie J (feat. B.o.B);;0;Price tag;NA;0;;
22;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;2;1;1;1;3;Iggy Azalea (ft. Charli XCX);;0;Fancy;NA;0;;
22;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;3;6;6;1;7;Outkast;;0;Ms. Jackson;NA;0;;
23;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;8;5;6;8;8;Eminem;Eminem;1;The way I am;;0;;
23;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;8;5;5;Post Malone;;0;WoW;;0;;
23;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;7;8;7;3;5;Nicki Minaj (feat. Rihanna);Rihanna;1;Fly;;0;;
23;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;7;6;4;5;Jessie J (feat. B.o.B);Katy Perry;0;Price tag;;0;;
23;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;10;6;7;8;Iggy Azalea (ft. Charli XCX);Iggy azalea;1;Fancy;fancy;1;;
23;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;3;5;Outkast;Outkast;1;Ms. Jackson;ms. jackson;1;;
24;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;10;10;5;10;Eminem;eminem;1;The way I am;who I am;1;;
24;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;8;10;10;1;9;Post Malone;post malone;1;WoW;wow;1;;
24;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;10;10;1;10;Nicki Minaj (feat. Rihanna);nicki minaj & rihanna;1;Fly;fly;1;;
24;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;3;1;1;5;Jessie J (feat. B.o.B);jessie J;1;Price tag;price tag;1;;
24;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;7;7;2;9;Iggy Azalea (ft. Charli XCX);Iggy azalea;1;Fancy;fancy;1;;
24;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;1;1;5;1;1;Outkast;;0;Ms. Jackson;;0;;
25;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;3;2;2;1;7;Eminem;eminem;1;The way I am;;0;;
25;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;9;10;1;9;Post Malone;post malone;1;WoW;wow;1;;
25;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;8;6;7;1;7;Nicki Minaj (feat. Rihanna);rhianna;1;Fly;fly;1;;
25;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;9;5;4;1;4;Jessie J (feat. B.o.B);;0;Price tag;;0;;
25;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;9;6;4;1;5;Iggy Azalea (ft. Charli XCX);Iggy Azelea ;1;Fancy;fancy;1;;
25;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;9;9;10;1;8;Outkast;;0;Ms. Jackson;mrs jackson;1;;
26;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;7;7;1;2;Eminem;Eminem;1;The way I am;The Way I Am;1;;
26;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;9;9;1;2;Post Malone;Post Malone;1;WoW;WOW;1;;
26;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;2;5;4;4;4;Nicki Minaj (feat. Rihanna);;0;Fly;;0;;
26;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;7;8;1;2;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
26;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;7;6;1;3;Iggy Azalea (ft. Charli XCX);Charlie XCX;1;Fancy;Fancy;1;;
26;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;9;9;1;3;Outkast;OutKast;1;Ms. Jackson;Sorry Ms.Jackson;1;;
27;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;7;9;9;3;10;Eminem;Eminem;1;The way I am;;0;;
27;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;7;8;3;6;Post Malone;Post Malone;1;WoW;Wow;1;;
27;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;6;6;1;8;Nicki Minaj (feat. Rihanna);;0;Fly;;0;;
27;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;4;5;1;4;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
27;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;8;8;2;8;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;Fancy;1;;
27;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;7;6;7;2;7;Outkast;;0;Ms. Jackson;;0;;
28;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;7;NA;1;7;Eminem;eminem;1;The way I am;;0;;
28;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;10;1;3;Post Malone;post malone;1;WoW;wow;1;;
28;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;10;10;1;2;Nicki Minaj (feat. Rihanna);rihanna;1;Fly;fly;1;;
28;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;10;10;1;3;Jessie J (feat. B.o.B);jessie j;1;Price tag;price tag;1;;
28;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;6;7;1;9;Iggy Azalea (ft. Charli XCX);iggy azalea;1;Fancy;fancy;1;;
28;B;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;1;8;Outkast;outkast;1;Ms. Jackson;ms jackson;1;;
29;B;lyrical;1;A;static/A1_lyrical.mp3;University pool;7;5;3;1;9;Eminem;;0;The way I am;;0;;
29;B;lyrical;2;A;static/A2_lyrical.mp3;University pool;4;5;5;1;7;Post Malone;;0;WoW;;0;;
29;B;lyrical;3;A;static/A3_lyrical.mp3;University pool;5;3;3;1;7;Nicki Minaj (feat. Rihanna);;0;Fly;;0;;
29;B;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;6;9;1;5;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
29;B;instrumental;2;B;static/B2_instrumental.mp3;University pool;9;2;2;1;5;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;Fancy;1;;
