"subject","which_list","song_rating","snippet_file","familiarity","preference","pleasantness","offensiveness","distraction","artist_name","song_name"
41,"C",1,"static/A1_lyrical.mp3",10,10,7,2,4,"eminem","way i am"
41,"C",2,"static/A2_lyrical.mp3",9,8,8,1,7,"post malone","wow."
41,"C",3,"static/A3_lyrical.mp3",7,5,7,1,5,"rhianna","fly?"
41,"C",4,"static/B1_instrumental.mp3",10,8,8,1,3,"jessie j","pricetag"
41,"C",5,"static/B2_instrumental.mp3",6,4,5,5,3,"will i am","birthday"
41,"C",6,"static/B3_instrumental.mp3",10,10,10,1,9,"outkast","ms.jackson"
42,"C",1,"static/A1_lyrical.mp3",10,9,8,1,8,"Eminem","The Way I Am"
42,"C",2,"static/A2_lyrical.mp3",6,5,5,1,6,"Post Malone","wow"
42,"C",3,"static/A3_lyrical.mp3",NA,NA,NA,NA,NA,"Rihanna","Fly"
42,"C",4,"static/B1_instrumental.mp3",10,8,7,1,4,"Jessie Jay","Price Tag"
42,"C",5,"static/B2_instrumental.mp3",8,7,6,1,6,"Iggy Azayla","Fancy"
42,"C",6,"static/B3_instrumental.mp3",8,5,5,1,4,"?","?"
43,"C",1,"static/A1_lyrical.mp3",10,10,10,2,9,"Eminem ","The way I am "
43,"C",2,"static/A2_lyrical.mp3",10,9,10,1,2,"Jessie J ","Price Tag"
43,"C",3,"static/A3_lyrical.mp3",10,9,10,1,3,"Rihanna ","Fly"
43,"C",4,"static/B1_instrumental.mp3",10,10,10,1,3,"Jessie J ","Price Tag"
43,"C",5,"static/B2_instrumental.mp3",7,6,7,3,4,"",""
43,"C",6,"static/B3_instrumental.mp3",3,5,7,1,3,"",""
44,"C",1,"static/A1_lyrical.mp3",2,7,6,2,8,"eminem",""
44,"C",2,"static/A2_lyrical.mp3",9,8,7,2,6,"post malone",""
44,"C",3,"static/A3_lyrical.mp3",10,9,10,1,4,"rihanna","to fly"
44,"C",4,"static/B1_instrumental.mp3",10,9,10,1,4,"jessie j","price tag"
44,"C",5,"static/B2_instrumental.mp3",10,7,6,2,5,"iggy azalea ft charie cxc","fancy"
44,"C",6,"static/B3_instrumental.mp3",1,5,5,1,6,"",""
45,"C",1,"static/A1_lyrical.mp3",10,10,10,1,10,"eminem","the way i am"
45,"C",2,"static/A2_lyrical.mp3",10,10,10,1,7,"post malone","wow"
45,"C",3,"static/A3_lyrical.mp3",10,8,10,1,10,"rihanna, niki minaj","fly"
45,"C",4,"static/B1_instrumental.mp3",10,6,7,1,5,"jessie j","price tag"
45,"C",5,"static/B2_instrumental.mp3",10,8,10,1,6,"iggy azaela","fancy"
45,"C",6,"static/B3_instrumental.mp3",10,10,10,1,8,"","ms jackson"
46,"C",1,"static/A1_lyrical.mp3",10,8,8,3,8,"eminem","the way i am"
46,"C",2,"static/A2_lyrical.mp3",10,10,10,2,10,"post malone","wow"
46,"C",3,"static/A3_lyrical.mp3",3,6,6,1,5,"",""
46,"C",4,"static/B1_instrumental.mp3",10,8,8,1,4,"katy perry","price tag"
46,"C",5,"static/B2_instrumental.mp3",8,5,5,1,8,"","fancy"
46,"C",6,"static/B3_instrumental.mp3",10,9,9,1,5,"",""
47,"C",1,"static/A1_lyrical.mp3",8,6,5,5,9,"eminem ",""
47,"C",2,"static/A2_lyrical.mp3",10,8,8,3,7,"post malone ","wow"
47,"C",3,"static/A3_lyrical.mp3",8,8,8,2,7,"Nicki Minaj, Rihanna ","Fly"
47,"C",4,"static/B1_instrumental.mp3",10,6,6,3,6,"jessie j ","price tag "
47,"C",5,"static/B2_instrumental.mp3",8,6,6,6,7,"Iggy azalea ","fancy "
47,"C",6,"static/B3_instrumental.mp3",10,9,8,4,3,"Outkast","ms Jackson "
48,"C",1,"static/A1_lyrical.mp3",6,7,7,3,8,"Eminmen",""
48,"C",2,"static/A2_lyrical.mp3",10,10,10,1,5,"Post Malone ","Wow"
48,"C",3,"static/A3_lyrical.mp3",10,9,9,1,9,"Nicki Minaj ft. Rihanna ","To Fly "
48,"C",4,"static/B1_instrumental.mp3",10,10,10,1,7,"Jessie J","Pricetag"
48,"C",5,"static/B2_instrumental.mp3",10,8,8,1,6,"Iggy Azela ","Fancy "
48,"C",6,"static/B3_instrumental.mp3",10,9,9,1,6,"","Ms Jackson"
49,"C",1,"static/A1_lyrical.mp3",6,7,7,2,10,"Eminem ","unknown"
49,"C",2,"static/A2_lyrical.mp3",10,10,10,1,10,"post malone","wow"
49,"C",3,"static/A3_lyrical.mp3",10,10,10,1,10,"nicki minaj","fly"
49,"C",4,"static/B1_instrumental.mp3",10,7,8,1,8,"Jessie J","Price tag"
49,"C",5,"static/B2_instrumental.mp3",10,9,8,1,10,"Iggy Izalea","fancy"
49,"C",6,"static/B3_instrumental.mp3",10,10,10,1,7,"Outkast","Ms. Jackson"
50,"C",1,"static/A1_lyrical.mp3",6,4,2,3,4,"Eminem",""
50,"C",2,"static/A2_lyrical.mp3",10,8,6,1,3,"Post Malone","WOW"
50,"C",3,"static/A3_lyrical.mp3",10,8,7,1,5,"Rihanna and Nicki Minaj","Fly"
50,"C",4,"static/B1_instrumental.mp3",10,9,9,1,4,"Jessie J","Price Tag"
50,"C",5,"static/B2_instrumental.mp3",10,7,5,1,4,"Iggy Azalea feat. Charli xcx","Fancy"
50,"C",6,"static/B3_instrumental.mp3",10,10,7,1,5,"","Miss Jackson"
51,"D",1,"static/B1_lyrical.mp3",10,10,10,2,8,"jessie j","price tag"
51,"D",2,"static/B2_lyrical.mp3",10,10,10,1,9,"iggy azalea and charlie xcx","fancy"
51,"D",3,"static/B3_lyrical.mp3",10,10,10,1,6,"outcast","ms jackson"
51,"D",4,"static/A1_instrumental.mp3",7,6,7,1,5,"",""
51,"D",5,"static/A2_instrumental.mp3",10,10,10,1,6,"",""
51,"D",6,"static/A3_instrumental.mp3",7,2,3,1,8,"",""
52,"D",1,"static/B1_lyrical.mp3",10,8,8,3,8,"Jessi J","Price tag"
52,"D",2,"static/B2_lyrical.mp3",10,9,8,8,3,"Issy","Fancy"
52,"D",3,"static/B3_lyrical.mp3",10,7,7,3,7,"",""
52,"D",4,"static/A1_instrumental.mp3",6,3,3,6,3,"",""
52,"D",5,"static/A2_instrumental.mp3",10,9,8,2,6,"Post Malone","Wow"
52,"D",6,"static/A3_instrumental.mp3",3,3,3,7,3,"",""
53,"D",1,"static/B1_lyrical.mp3",10,10,NA,1,1,"Jesse J","Price Tag"
53,"D",2,"static/B2_lyrical.mp3",10,10,10,1,1,"Iggy Azalea","Fancy"
53,"D",3,"static/B3_lyrical.mp3",1,10,10,1,4,"",""
53,"D",4,"static/A1_instrumental.mp3",10,5,5,1,9,"",""
53,"D",5,"static/A2_instrumental.mp3",1,1,1,1,9,"",""
