"subject","item","Provo_ID","list","word","word_ID","ended_on","duration","sound","Pool","log_duration"
2,10,48,"A",33,"the","response",310.850000014179,"silence","University pool",5.73931048076096
2,10,48,"A",34,"country","response",370.224999985541,"silence","University pool",5.91411092888451
2,10,48,"A",35,"is","response",378.928999971482,"silence","University pool",5.93734885236541
2,10,48,"A",36,"a","response",331.042999993777,"silence","University pool",5.80224827628633
2,10,48,"A",37,"crime","response",492.903000019782,"silence","University pool",6.20031240016021
2,10,48,"A",38,"punishable","response",328.905000012077,"silence","University pool",5.79576895530529
2,10,48,"A",39,"by","response",450.896000009554,"silence","University pool",6.11123671426228
2,10,48,"A",40,"up","response",304.220999976271,"silence","University pool",5.71775441089506
2,10,48,"A",41,"to","response",323.57699999091,"silence","University pool",5.77943710722854
2,10,48,"A",42,"five","response",446.278999976406,"silence","University pool",6.10094431692388
2,10,48,"A",43,"years","response",347.546999977378,"silence","University pool",5.85089990759262
2,10,48,"A",44,"in","response",373.04300000146,"silence","University pool",5.92169369450467
2,10,48,"A",45,"prison","response",341.541999972134,"silence","University pool",5.83347065818984
2,10,48,"A",46,"in","response",343.783000006457,"silence","University pool",5.84001064439186
2,10,48,"A",47,"the","response",417.565999986895,"silence","University pool",6.03444261559793
2,10,48,"A",48,"United","response",560.226000025868,"silence","University pool",6.3283402737909
2,10,48,"A",49,"States.","response",913.601999973704,"silence","University pool",6.81739502801242
2,14,17,"A",1,"are","response",419.030000024766,"lyrical","University pool",6.0379425164635
2,14,17,"A",2,"more","response",337.561000022513,"lyrical","University pool",5.82174623478838
2,14,17,"A",3,"flexible","response",715.669999985083,"lyrical","University pool",6.57321916684083
2,14,17,"A",4,"than","response",342.189999997849,"lyrical","University pool",5.83536613834802
2,14,17,"A",5,"humans","response",360.299000001047,"lyrical","University pool",5.88693424228821
2,14,17,"A",6,"because","response",392.937000025413,"lyrical","University pool",5.97364929374015
2,14,17,"A",7,"a","response",568.976999988256,"lyrical","University pool",6.34384001149609
2,14,17,"A",8,"bird's","response",313.541000025987,"lyrical","University pool",5.74793013310391
2,14,17,"A",9,"head","response",364.32100001449,"lyrical","University pool",5.89803534719114
2,14,17,"A",10,"is","response",324.88099999947,"lyrical","University pool",5.78345896143126
2,14,17,"A",11,"only","response",311.661000008637,"lyrical","University pool",5.74191605866482
2,14,17,"A",12,"connected","response",354.223000018101,"lyrical","University pool",5.86992665835658
2,14,17,"A",13,"by","response",323.56399999687,"lyrical","University pool",5.77939693053121
2,14,17,"A",14,"one","response",310.264999981504,"lyrical","University pool",5.73742677096274
2,14,17,"A",15,"socket","response",337.560000024678,"lyrical","University pool",5.82174327236287
2,14,17,"A",16,"pivot.","response",347.576999997196,"lyrical","University pool",5.85098622318477
2,14,17,"A",17,"People","response",804.908999992767,"lyrical","University pool",6.69072922754142
2,14,17,"A",18,"have","response",300.317999995779,"lyrical","University pool",5.70484191323884
2,14,17,"A",19,"two,","response",295.571000018914,"lyrical","University pool",5.68890907877734
2,14,17,"A",20,"which","response",522.915999973018,"lyrical","University pool",6.25942083925917
2,14,17,"A",21,"limits","response",349.590999974811,"lyrical","University pool",5.85676389967086
2,14,17,"A",22,"our","response",382.966000022599,"lyrical","University pool",5.94794621245316
2,14,17,"A",23,"ability","response",790.916000021563,"lyrical","University pool",6.6731917674656
2,14,17,"A",24,"to","response",383.367999987735,"lyrical","University pool",5.94899536335082
2,14,17,"A",25,"twist,","response",374.861999981804,"lyrical","University pool",5.92655795819325
2,14,17,"A",26,"Forsman","response",1319.58799997706,"lyrical","University pool",7.18507484563094
2,14,17,"A",27,"added.","response",442.182999980054,"lyrical","University pool",6.09172382349632
2,14,17,"A",28,"Owls","response",896.377000025648,"lyrical","University pool",6.7983610834379
2,14,17,"A",29,"also","response",467.676000006322,"lyrical","University pool",6.14777574848322
2,14,17,"A",30,"have","response",312.246000019135,"lyrical","University pool",5.74379133873672
2,14,17,"A",31,"multiple","response",546.969000000681,"lyrical","University pool",6.30439212805675
2,14,17,"A",32,"vertebrae,","response",292.22100002598,"lyrical","University pool",5.67751036540624
2,14,17,"A",33,"the","response",456.288000022061,"lyrical","University pool",6.12312418914806
2,14,17,"A",34,"small","response",365.64699997328,"lyrical","University pool",5.90166838704302
2,14,17,"A",35,"bones","response",286.16199998575,"lyrical","University pool",5.65655808397355
2,14,17,"A",36,"that","response",210.142000013439,"lyrical","University pool",5.34778349274384
2,14,17,"A",37,"make","response",377.622999993211,"lyrical","University pool",5.93389634341532
2,14,17,"A",38,"up","response",298.232000017073,"lyrical","University pool",5.69787170716037
2,14,17,"A",39,"the","response",285.548000025214,"lyrical","University pool",5.65441014114733
2,14,17,"A",40,"neck","response",385.618000028364,"lyrical","University pool",5.95484724221837
2,14,17,"A",41,"and","response",409.58900002524,"lyrical","University pool",6.01515421795756
2,14,17,"A",42,"spine,","response",264.863999993133,"lyrical","University pool",5.57921648667706
2,14,17,"A",43,"helping","response",445.557000027271,"lyrical","University pool",6.09932518491561
2,14,17,"A",44,"them","response",258.852000023704,"lyrical","University pool",5.55625646989215
2,14,17,"A",45,"achieve","response",376.429999999062,"lyrical","University pool",5.93073210697687
2,14,17,"A",46,"a","response",336.935999999812,"lyrical","University pool",5.8198930013372
2,14,17,"A",47,"wide","response",266.979999982694,"lyrical","University pool",5.58717374916276
2,14,17,"A",48,"range","response",327.771000002045,"lyrical","University pool",5.79231519382399
2,14,17,"A",49,"of","response",313.642999973556,"lyrical","University pool",5.74825539633915
2,14,17,"A",50,"motion.","response",620.244999987481,"lyrical","University pool",6.43011456125361
2,2,3,"A",1,"agree","response",534.285000014876,"lyrical","University pool",6.28092940448182
2,2,3,"A",2,"that","response",344.342999987362,"lyrical","University pool",5.84163825359289
2,2,3,"A",3,"California's","response",657.645999982546,"lyrical","University pool",6.48866679260715
2,2,3,"A",4,"""three","response",430.933999987086,"lyrical","University pool",6.06595494609726
2,2,3,"A",5,"strikes","response",677.016000005708,"lyrical","University pool",6.51769490631943
2,2,3,"A",6,"and","response",401.551999994554,"lyrical","University pool",5.99533703930829
2,2,3,"A",7,"you're","response",304.882000001555,"lyrical","University pool",5.7199248165072
2,2,3,"A",8,"out""","response",332.259000024584,"lyrical","University pool",5.80591478533659
2,2,3,"A",9,"law","response",414.337000016298,"lyrical","University pool",6.0266796524003
2,2,3,"A",10,"will","response",324.885000017006,"lyrical","University pool",5.78347127360991
2,2,3,"A",11,"be","response",287.65799997648,"lyrical","University pool",5.66177227441737
2,2,3,"A",12,"a","response",275.546999999264,"lyrical","University pool",5.61875821295103
2,2,3,"A",13,"financial","response",336.253999997803,"lyrical","University pool",5.81786682674954
2,2,3,"A",14,"disaster","response",450.260000018345,"lyrical","University pool",6.10982519373357
2,2,3,"A",15,"for","response",367.62700000254,"lyrical","University pool",5.90706883719269
2,2,3,"A",16,"taxpayers","response",552.324999972712,"lyrical","University pool",6.31413664108769
2,2,3,"A",17,"who","response",593.495000006864,"lyrical","University pool",6.38602878942597
2,2,3,"A",18,"care","response",265.625000008498,"lyrical","University pool",5.58208553971067
2,2,3,"A",19,"about","response",374.174000025552,"lyrical","University pool",5.92472092993366
2,2,3,"A",20,"education","response",326.994000004721,"lyrical","University pool",5.7899418221195
2,2,3,"A",21,"and","response",409.59700002207,"lyrical","University pool",6.01517374953361
2,2,3,"A",22,"other","response",352.857999996806,"lyrical","University pool",5.8660657097045
2,2,3,"A",23,"vital","response",298.262999988743,"lyrical","University pool",5.69797564758467
2,2,3,"A",24,"services.","response",709.848000005819,"lyrical","University pool",6.56505086261716
2,2,3,"A",25,"But","response",409.031999982253,"lyrical","University pool",6.01379339254766
2,2,3,"A",26,"it's","response",312.933000019926,"lyrical","University pool",5.74598911018226
2,2,3,"A",27,"far","response",354.844000007433,"lyrical","University pool",5.87167825629608
